entrez_id,logFC,PValue
57799,-1.545472979,3.67E-20
2845,-4.526843099,3.68E-20
160622,-2.365087716,3.87E-20
11255,-4.659202301,4.08E-20
554225,-3.546628231,4.09E-20
407738,-4.341295588,4.12E-20
283209,-2.560816871,4.22E-20
5595,-1.348458378,4.39E-20
23101,-3.385363654,4.69E-20
8916,-1.570081382,5.10E-20
57180,-1.90590433,5.34E-20
90249,-3.739754426,5.44E-20
56904,-1.851640739,5.50E-20
9951,-4.251875563,5.51E-20
81557,5.405826573,5.61E-20
11122,-4.115814551,5.68E-20
27132,-4.00739186,5.93E-20
9177,-5.421835325,6.48E-20
10815,-3.710886765,6.50E-20
2550,-2.772993458,6.98E-20
342538,3.955847706,7.00E-20
259232,-2.946689975,7.06E-20
57185,-2.54053537,7.07E-20
150379,-4.496209579,7.11E-20
285368,-2.029164016,7.36E-20
492311,-1.928833303,7.36E-20
11101,-1.404288255,7.54E-20
114783,-2.515667832,7.56E-20
3098,-1.90142594,7.68E-20
6620,-4.231648548,7.81E-20
9956,-4.149780704,8.09E-20
10403,6.096048464,8.40E-20
57172,-4.238652854,8.51E-20
5019,-1.744798557,9.06E-20
146664,-3.080268316,9.59E-20
818,-2.242553115,1.02E-19
4122,-1.72747723,1.02E-19
7280,-2.051973949,1.02E-19
2983,-2.547188401,1.14E-19
57571,-4.391690418,1.16E-19
8396,-1.491447528,1.21E-19
1816,-5.165074137,1.29E-19
10458,-1.868086101,1.41E-19
57709,-4.040989266,1.45E-19
1961,-4.466927615,1.47E-19
23648,-1.994055528,1.49E-19
101929544,-4.925356643,1.56E-19
7050,2.866993121,1.60E-19
5905,-1.735637151,1.68E-19
112476,-3.131664135,1.68E-19
7277,-3.059919756,1.69E-19
90355,-1.964047376,1.69E-19
55323,-1.979101128,1.70E-19
10900,-3.375556103,1.71E-19
116966,-2.282954058,1.72E-19
55165,5.392032986,1.84E-19
816,-3.391918112,1.86E-19
26030,-2.771556195,1.90E-19
3631,-1.513943149,1.93E-19
5649,-4.271529327,1.97E-19
2914,-4.388109491,2.04E-19
140679,-4.594278718,2.05E-19
104,-2.375709462,2.05E-19
257240,-3.735580086,2.11E-19
55872,7.284538376,2.12E-19
11041,-1.733088963,2.14E-19
84940,-3.283504158,2.14E-19
11065,7.36041345,2.15E-19
547,-3.1554164,2.19E-19
284615,-2.964619545,2.19E-19
2781,-2.197824933,2.20E-19
222662,-4.499434763,2.27E-19
23287,-1.971140765,2.35E-19
161,-1.509713097,2.38E-19
83546,-3.726851034,2.41E-19
9382,-1.346425628,2.49E-19
50632,-4.52903626,2.56E-19
375196,-3.226606857,2.58E-19
57475,-3.143991175,2.66E-19
3775,-3.821015901,2.77E-19
1114,-3.744682151,2.83E-19
1267,-2.493215874,2.84E-19
57338,-4.363904331,2.90E-19
3736,-4.025634751,2.92E-19
84539,-5.757600451,3.07E-19
170394,-1.81511504,3.23E-19
285220,-4.792884329,3.23E-19
25791,-3.778664629,3.26E-19
205327,-1.2514505,3.31E-19
7153,7.296475027,3.38E-19
23072,-3.969014158,3.39E-19
170850,-4.426999841,3.61E-19
105371485,-5.157019311,3.78E-19
5650,-5.61742869,3.80E-19
28964,-1.540287624,3.85E-19
400046,-4.210855537,4.16E-19
9673,-1.250768339,4.38E-19
2572,-4.527374138,4.40E-19
9229,-3.231342293,4.73E-19
2775,-2.735194172,4.75E-19
