entrez_id,symbol,logFC,logCPM,LR,p_value,FDR
692086,SNORD17,0.518363524,9.983910466,1.620922506,0.202963205,0.384211162
55106,SLFN12,0.973046344,3.303915148,1.620547414,0.203015475,0.384244182
166815,TIGD2,-0.471972719,2.979081533,1.620370408,0.203040147,0.384244182
10567,RABAC1,0.314415011,6.834481259,1.61903527,0.203226358,0.384496452
84330,ZNF414,0.488667851,4.637612352,1.618987757,0.203232988,0.384496452
4917,NTN3,1.039573279,1.947723266,1.618590196,0.203288477,0.384545103
29937,NENF,-0.356799786,6.518219887,1.616438117,0.203589157,0.385057484
109617008,SNORA70I,0.773982286,3.508236439,1.615983728,0.20365271,0.385085817
10237,SLC35B1,0.276487979,5.173434128,1.615904689,0.203663767,0.385085817
7473,WNT3,0.607926358,1.369333934,1.614313267,0.203886548,0.385450623
5920,PLAAT4,0.485299153,7.904061295,1.613856261,0.203950577,0.385515242
23513,SCRIB,0.527185053,5.694216803,1.613069068,0.204060922,0.385667379
57343,ZNF304,0.481872437,4.78621678,1.611886925,0.204226761,0.385924338
161424,NOP9,0.363833923,4.544796043,1.61080307,0.204378952,0.386155433
285989,ZNF789,0.43336722,5.098024151,1.609562911,0.204553254,0.386428233
3631,INPP4A,-0.469535463,5.111401934,1.607422772,0.20485446,0.386940655
140901,STK35,0.36591273,4.115883426,1.606769576,0.204946495,0.387048009
5238,PGM3,0.637728461,1.503606068,1.6065941,0.204971228,0.387048009
3039,HBA1,-0.783490447,2.011169124,1.606329614,0.205008514,0.387061828
65244,SPATS2,-0.452193331,4.008361045,1.60513601,0.205176879,0.387323089
677829,SNORA49,0.450301945,10.07028958,1.604727541,0.205234534,0.387375309
26275,HIBCH,-0.408004249,5.283123087,1.604357602,0.205286767,0.387397208
254268,AKNAD1,0.730356257,1.8802105,1.604220534,0.205306124,0.387397208
22874,PLEKHA6,-0.757585824,4.854309294,1.603991064,0.205338535,0.387401769
8846,ALKBH1,0.422179882,3.368867089,1.603293247,0.205437133,0.387464483
29,ABR,-0.553252361,3.653374354,1.603150245,0.205457346,0.387464483
134218,DNAJC21,-0.303834802,6.387951544,1.603118935,0.205461772,0.387464483
64110,MAGEF1,0.404843355,5.646530198,1.602705979,0.205520155,0.387513472
85403,EAF1,0.409866116,6.840317153,1.602494838,0.205550014,0.387513472
23677,SH3BP4,0.477581612,5.93352843,1.602298688,0.205577757,0.387513472
55016,Mar-01,-0.651307061,4.900587416,1.600026283,0.205899486,0.388018056
594839,SNORA33,0.551406221,5.280884411,1.599761384,0.205937029,0.388018056
114548,NLRP3,-0.784322342,1.993776304,1.599735205,0.20594074,0.388018056
54469,ZFAND6,0.344343733,5.344600421,1.599559775,0.205965608,0.388018056
8751,ADAM15,0.417212967,6.569751557,1.599092556,0.206031856,0.388086256
89792,GAL3ST3,0.683777719,3.191158567,1.598673531,0.206091292,0.388141605
677828,SNORA47,0.492849525,6.919573502,1.597782994,0.206217676,0.388323007
29071,C1GALT1C1,-0.34937424,5.105023545,1.597465324,0.206262781,0.388351324
23421,ITGB3BP,0.413662547,4.123462357,1.595652848,0.206520355,0.388765624
3842,TNPO1,0.447393412,4.795051769,1.595493452,0.206543025,0.388765624
51477,ISYNA1,0.757487513,1.704375542,1.595145357,0.206592543,0.38877672
57050,UTP3,0.324298986,6.398096589,1.595028844,0.206609121,0.38877672
57716,PRX,-0.712359285,1.697536913,1.594113819,0.206739367,0.388965137
26985,AP3M1,-0.421251406,5.409902424,1.593863779,0.206774975,0.388966773
969,CD69,-0.937320158,3.412496517,1.593684806,0.206800467,0.388966773
84135,UTP15,-0.449211979,4.063364059,1.593173524,0.206873311,0.38904713
94032,CAMK2N2,-0.912944055,4.245271671,1.592360286,0.206989239,0.389208474
54468,MIOS,0.40264332,4.731448083,1.591572487,0.207101613,0.389338891
63905,MANBAL,0.324789308,5.17399345,1.591451448,0.207118885,0.389338891
23207,PLEKHM2,-0.426534504,6.634702369,1.591076921,0.207172339,0.389382703
91749,MFSD4B,-0.598902806,3.793599999,1.58858499,0.207528416,0.389946617
23385,NCSTN,0.352346287,6.951097476,1.588354214,0.207561428,0.389946617
51422,PRKAG2,-0.590688625,3.540938386,1.588343616,0.207562945,0.389946617
283219,KCTD21,-0.593028728,3.892526874,1.587941903,0.207620425,0.389982954
4869,NPM1,0.315874766,8.341995223,1.587654034,0.207661627,0.389982954
10272,FSTL3,0.504096902,2.617994758,1.587575512,0.207672868,0.389982954
199692,ZNF627,0.399489973,4.572644975,1.5873488,0.207705326,0.389987205
93663,ARHGAP18,0.566762618,5.514385662,1.585436953,0.207979279,0.390444821
55695,NSUN5,0.451775749,5.17481352,1.584621608,0.208096242,0.390607624
51177,PLEKHO1,0.495573157,4.3703399,1.584294164,0.208143236,0.390639065
79876,UBA5,-0.368410033,4.301507064,1.583718124,0.20822594,0.390737503
57403,RAB22A,-0.273168914,7.434430338,1.582630507,0.208382197,0.390960025
255426,RASGEF1C,-1.016611227,4.503789365,1.582471442,0.208405061,0.390960025
25786,DGCR11,-0.511851606,2.254590432,1.581688742,0.208517611,0.391114358
6663,SOX10,-1.303235243,6.948094479,1.579930109,0.208770761,0.391532329
84910,TMEM87B,-0.383449313,5.118241021,1.578886838,0.208921108,0.391725662
55226,NAT10,0.687472971,3.229660916,1.578793911,0.208934507,0.391725662
4500,MT1L,0.711862433,4.826625495,1.578345288,0.208999202,0.391786852
221154,MICU2,-0.370708031,5.242813608,1.578146966,0.20902781,0.391786852
203069,R3HCC1,0.425745321,5.080958657,1.577366814,0.209140391,0.391940988
6650,CAPN15,0.575028485,3.553099665,1.576262246,0.209299909,0.392062419
126299,ZNF428,0.503922722,6.685893282,1.57605052,0.209330503,0.392062419
55281,TMEM140,0.529847196,5.353201933,1.576017384,0.209335291,0.392062419
3658,IREB2,-0.387402802,6.490752711,1.575968344,0.209342378,0.392062419
80833,APOL3,-0.403570684,4.463990391,1.575771579,0.209370816,0.392062419
57380,MRS2,-0.301281281,5.382963257,1.575657435,0.209387315,0.392062419
9375,TM9SF2,-0.428415093,7.003194863,1.575202142,0.209453142,0.392120319
8242,KDM5C,0.350761307,6.899259734,1.574487556,0.209556507,0.392120319
