entrez_id,logFC,PValue
80303,-2.234874836,5.71E-05
6506,-2.696717611,5.72E-05
23768,-2.788835712,5.72E-05
956,-3.020184869,5.74E-05
3099,2.282514349,5.76E-05
116372,1.408709258,5.76E-05
123041,-2.281761379,5.82E-05
6261,-1.908334654,5.87E-05
89853,-1.490025685,5.88E-05
55720,1.35491133,5.90E-05
9118,-4.442234486,5.90E-05
5464,-1.268572687,5.99E-05
5577,-2.218200515,5.99E-05
25849,-3.31898899,6.01E-05
221264,-1.759791044,6.02E-05
143879,-1.651611837,6.03E-05
51560,-2.06633918,6.03E-05
4128,-1.630719365,6.03E-05
57338,-4.437040694,6.04E-05
5334,-2.814148585,6.10E-05
284207,1.482599528,6.11E-05
127018,-1.32848419,6.15E-05
81790,-1.114315284,6.17E-05
170371,-2.255213341,6.24E-05
64839,-1.639226046,6.26E-05
55722,-2.050386145,6.28E-05
440073,-3.753017377,6.30E-05
9771,-1.721952726,6.39E-05
9705,-3.486770809,6.40E-05
8324,2.159907362,6.44E-05
134265,1.786406251,6.46E-05
3028,1.174258149,6.52E-05
728730,-1.667183629,6.54E-05
2187,-1.879720046,6.54E-05
23167,-1.486848469,6.70E-05
25796,1.438844951,6.72E-05
80863,-2.284486605,6.81E-05
22978,-1.080164689,6.84E-05
1902,-1.911027884,6.87E-05
83931,1.394627446,6.90E-05
5297,-1.351199729,6.94E-05
8871,-1.835230238,7.02E-05
7083,2.205284728,7.04E-05
51555,-3.908512239,7.06E-05
286205,-1.717037912,7.13E-05
2039,-2.594042168,7.19E-05
4953,1.152419544,7.19E-05
7494,1.192655536,7.20E-05
23492,-2.118609758,7.23E-05
23349,-3.878902205,7.24E-05
9066,-2.985736633,7.30E-05
2166,-2.036961915,7.41E-05
9775,1.031528178,7.42E-05
57469,-2.282487566,7.43E-05
6311,-1.012282759,7.67E-05
317662,-1.155360001,7.76E-05
5764,1.364325245,7.82E-05
9215,-1.43157143,7.83E-05
10900,-2.784945827,7.98E-05
26249,-1.718501056,8.09E-05
54682,-1.217195049,8.20E-05
125228,1.285459431,8.29E-05
6861,-3.638759988,8.31E-05
2262,-2.515404948,8.33E-05
51100,-1.950937122,8.34E-05
2824,-2.029539226,8.35E-05
3654,1.572454632,8.41E-05
146330,-3.364746646,8.46E-05
378925,-2.225269487,8.48E-05
219539,-2.177412664,8.52E-05
54858,1.175256549,8.55E-05
10247,-1.140436211,8.84E-05
400617,-1.774041027,8.85E-05
118442,-2.243986534,8.91E-05
55328,-1.788645016,8.98E-05
3786,-2.123979094,9.04E-05
25830,-5.250770852,9.10E-05
2729,-1.139817012,9.13E-05
5058,-1.783107031,9.23E-05
10933,-1.358527921,9.25E-05
9750,-1.931188115,9.31E-05
10313,-2.933794181,9.33E-05
23732,-2.869595055,9.36E-05
7465,2.484680797,9.36E-05
1841,1.467793395,9.41E-05
221400,-2.07717745,9.47E-05
8614,2.91000381,9.56E-05
8997,-2.228599693,9.57E-05
7791,1.400960934,9.60E-05
84502,-3.374313031,9.62E-05
284307,1.204948922,9.68E-05
146177,-2.308375807,9.71E-05
203859,-3.25490093,9.76E-05
22998,-1.46989599,9.84E-05
57515,-1.33179631,9.89E-05
1974,-1.546622227,9.97E-05
85445,-4.005420144,9.98E-05
79885,-1.719517776,0.00010014
6414,-2.424014425,0.000100767
84871,-2.105668366,0.0001009
3778,-2.331267424,0.000102105
91133,-1.939136436,0.000102462
644596,-2.510787901,0.000103086
140609,-1.561287511,0.000103278
151258,-1.864931718,0.000103346
84938,-1.864797873,0.000103393
5608,-1.556012616,0.000104528
55680,-1.147612323,0.000104763
23180,1.252091136,0.000104773
54521,-1.129022133,0.000105314
3315,1.356931946,0.000105858
5243,-2.540978863,0.000106544
23313,-1.498486413,0.000107356
9911,-2.081883612,0.000107968
206358,-1.119967766,0.00010799
55812,-1.453529754,0.000108284
257364,1.480130247,0.000108821
64854,-1.561235005,0.000108901
374986,-1.839790222,0.00010905
56899,-3.576206715,0.000109307
5581,-1.863082019,0.000109365
84451,-2.522299868,0.000109468
10960,0.939464212,0.000111722
23329,-1.872585393,0.000111824
387751,-1.901659811,0.000112055
5118,2.144912004,0.000112484
10350,-2.546133901,0.000113385
50862,-1.171693186,0.000113519
8224,-3.510982648,0.000113927
604,1.618122524,0.000114397
286827,1.550809479,0.000114566
338699,-1.658596897,0.000116226
